id,title,category,price,discountPercentage,rating,stock,brand,sku,weight,warrantyInformation,shippingInformation,availabilityStatus,returnPolicy,minimumOrderQuantity,subcategory,width,height,depth,comment
98,Rolex Submariner Watch,mens-watches,13999.99,5.05,4,55,Rolex,MEN-ROL-ROL-098,4,5 year warranty,Ships in 1 month,In Stock,90 days return policy,1,luxury watches,17.69,12.48,8.75,Great value for money!
99,Amazon Echo Plus,mobile-accessories,99.99,12.07,2,61,Amazon,MOB-AMA-AMA-099,5,6 months warranty,Ships in 1 week,In Stock,7 days return policy,9,smart speakers,12.68,15.24,27.46,Would not recommend!
100,Apple Airpods,mobile-accessories,129.99,15.54,3,67,Apple,MOB-APP-APP-100,4,3 year warranty,Ships in 3-5 business days,In Stock,No return policy,4,wireless earphones,25.79,18.38,11.53,Would not buy again!
101,Apple AirPods Max Silver,mobile-accessories,549.99,13.67,5,59,Apple,MOB-APP-APP-101,2,No warranty,Ships in 2 weeks,In Stock,No return policy,1,over-ear headphones,24.88,14.9,27.54,Excellent quality!
102,Apple Airpower Wireless Charger,mobile-accessories,79.99,4.48,5,1,Apple,MOB-APP-APP-102,5,2 year warranty,Ships in 1 week,Low Stock,90 days return policy,7,wireless chargers,25.25,25.44,10.98,Would buy again!
103,Apple HomePod Mini Cosmic Grey,mobile-accessories,99.99,18.1,5,27,Apple,MOB-APP-APP-103,10,3 months warranty,Ships in 1 month,In Stock,90 days return policy,8,smart speakers,16.02,29.2,19.81,Great product!
104,Apple iPhone Charger,mobile-accessories,19.99,18.52,1,31,Apple,MOB-APP-APP-104,1,1 year warranty,Ships in 2 weeks,In Stock,90 days return policy,14,chargers,13.63,26.25,5.95,Very disappointed!
105,Apple MagSafe Battery Pack,mobile-accessories,99.99,17.17,2,1,Apple,MOB-APP-APP-105,6,2 year warranty,Ships overnight,Low Stock,No return policy,4,power banks,15.4,11.89,19.67,Would not recommend!
106,Apple Watch Series 4 Gold,mobile-accessories,349.99,12.02,3,33,Apple,MOB-APP-APP-106,6,6 months warranty,Ships in 1 month,In Stock,No return policy,3,smartwatches,27.69,28.03,7.11,Very unhappy with my purchase!
107,Beats Flex Wireless Earphones,mobile-accessories,49.99,5.73,2,50,Beats,MOB-BEA-BEA-107,8,1 year warranty,Ships in 1-2 business days,In Stock,7 days return policy,17,wireless earphones,17.86,25.74,23.09,Disappointing product!
108,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,29.99,13.85,2,69,Apple,MOB-APP-IPH-108,7,3 months warranty,Ships in 3-5 business days,In Stock,90 days return policy,4,phone accessories,12.49,11.29,23.52,Would not buy again!
109,Monopod,mobile-accessories,19.99,8.58,1,48,TechGear,MOB-TEC-MON-109,10,1 year warranty,Ships in 1-2 business days,In Stock,60 days return policy,30,camera accessories,8.8,12.93,21.1,Not worth the price!
110,Selfie Lamp with iPhone,mobile-accessories,14.99,19.4,4,58,GadgetMaster,MOB-GAD-SEL-110,10,Lifetime warranty,Ships in 2 weeks,In Stock,60 days return policy,22,selfie accessories,5.26,13.84,22.83,Highly recommended!
111,Selfie Stick Monopod,mobile-accessories,12.99,19.12,4,11,SnapTech,MOB-SNA-SEL-111,2,3 year warranty,Ships in 1-2 business days,In Stock,30 days return policy,8,selfie accessories,24.76,26.38,21.39,Great product!
112,TV Studio Camera Pedestal,mobile-accessories,499.99,8.31,3,15,ProVision,MOB-PRO-STU-112,4,3 months warranty,Ships in 1-2 business days,In Stock,7 days return policy,1,camera accessories,29.84,11.01,6.81,Would not recommend!
113,Generic Motorcycle,motorcycle,3999.99,12.1,5,34,Generic Motors,MOT-GEN-GEN-113,8,1 year warranty,Ships in 2 weeks,In Stock,7 days return policy,1,None,26.23,14.04,17.87,Highly impressed!
114,Kawasaki Z800,motorcycle,8999.99,9.77,4,52,Kawasaki,MOT-KAW-KAW-114,9,Lifetime warranty,Ships in 3-5 business days,In Stock,90 days return policy,1,sportbikes,18.3,18.27,16.06,Highly impressed!
115,MotoGP CI.H1,motorcycle,14999.99,6.92,4,10,MotoGP,MOT-MOT-MOT-115,1,1 month warranty,Ships in 3-5 business days,In Stock,30 days return policy,1,sportbikes,19.33,17.31,12.05,Awesome product!
116,Scooter Motorcycle,motorcycle,2999.99,6.27,4,84,ScootMaster,MOT-SCO-SCO-116,7,5 year warranty,Ships overnight,In Stock,7 days return policy,1,scooters,27.31,19.34,26.72,Highly recommended!
117,Sportbike Motorcycle,motorcycle,7499.99,11.58,5,0,SpeedMaster,MOT-SPE-SPO-117,10,5 year warranty,Ships in 2 weeks,Out of Stock,30 days return policy,1,sportbikes,22.5,22.74,8.38,Highly impressed!
118,Attitude Super Leaves Hand Soap,skin-care,8.99,18.49,5,94,Attitude,SKI-ATT-ATT-118,1,6 months warranty,Ships overnight,In Stock,60 days return policy,41,hand soap,14.05,8.3,16.62,Very satisfied!
119,Olay Ultra Moisture Shea Butter Body Wash,skin-care,12.99,16.39,4,34,Olay,SKI-OLA-OLA-119,4,1 year warranty,Ships in 1-2 business days,In Stock,30 days return policy,33,body wash,25.23,28.33,11.89,Very satisfied!
120,Vaseline Men Body and Face Lotion,skin-care,9.99,13.39,4,95,Vaseline,SKI-VAS-VAS-120,4,Lifetime warranty,Ships overnight,In Stock,90 days return policy,9,body lotion,21.83,17.38,24.76,Excellent quality!
121,iPhone 5s,smartphones,199.99,12.91,5,25,Apple,SMA-APP-IPH-121,2,Lifetime warranty,Ships in 1 month,In Stock,60 days return policy,3,apple,5.29,18.38,17.72,Highly recommended!
122,iPhone 6,smartphones,299.99,6.69,3,60,Apple,SMA-APP-IPH-122,7,1 month warranty,Ships overnight,In Stock,7 days return policy,5,apple,11.0,9.1,9.67,Disappointing product!
123,iPhone 13 Pro,smartphones,1099.99,9.37,5,56,Apple,SMA-APP-IPH-123,8,3 year warranty,Ships in 2 weeks,In Stock,7 days return policy,1,apple,12.63,5.28,14.29,Would buy again!
124,iPhone X,smartphones,899.99,19.59,4,37,Apple,SMA-APP-IPH-124,1,3 months warranty,Ships in 3-5 business days,In Stock,7 days return policy,2,apple,21.88,24.19,14.19,Highly recommended!
125,Oppo A57,smartphones,249.99,2.43,4,19,Oppo,SMA-OPP-OPP-125,5,Lifetime warranty,Ships in 3-5 business days,In Stock,90 days return policy,3,oppo,7.2,10.74,23.68,Excellent quality!
126,Oppo F19 Pro Plus,smartphones,399.99,18.64,5,78,Oppo,SMA-OPP-OPP-126,6,3 year warranty,Ships in 1 week,In Stock,90 days return policy,1,oppo,6.78,25.17,8.4,Very happy with my purchase!
127,Oppo K1,smartphones,299.99,18.29,4,55,Oppo,SMA-OPP-OPP-127,5,1 month warranty,Ships in 1-2 business days,In Stock,30 days return policy,5,oppo,13.89,10.63,16.6,Very pleased!
128,Realme C35,smartphones,149.99,15.3,4,48,Realme,SMA-REA-REA-128,2,3 year warranty,Ships overnight,In Stock,90 days return policy,3,realme,25.28,8.14,29.53,Great product!
129,Realme X,smartphones,299.99,6.95,5,12,Realme,SMA-REA-REA-129,4,1 month warranty,Ships in 3-5 business days,In Stock,No return policy,3,realme,25.59,21.42,12.75,Would buy again!
130,Realme XT,smartphones,349.99,11.51,4,80,Realme,SMA-REA-REA-130,3,3 year warranty,Ships in 1 month,In Stock,60 days return policy,3,realme,24.98,26.73,6.5,Very satisfied!
131,Samsung Galaxy S7,smartphones,299.99,19.55,1,67,Samsung,SMA-SAM-SAM-131,10,3 months warranty,Ships in 3-5 business days,In Stock,No return policy,1,samsung galaxy,13.55,24.24,5.63,Not as described!
132,Samsung Galaxy S8,smartphones,499.99,19.45,4,0,Samsung,SMA-SAM-SAM-132,6,2 year warranty,Ships in 1 week,Out of Stock,No return policy,4,samsung galaxy,23.05,26.88,15.73,Highly impressed!
133,Samsung Galaxy S10,smartphones,699.99,5.59,4,19,Samsung,SMA-SAM-SAM-133,9,No warranty,Ships in 2 weeks,In Stock,30 days return policy,2,samsung galaxy,27.41,15.26,27.02,Excellent quality!
134,Vivo S1,smartphones,249.99,10.17,4,50,Vivo,SMA-VIV-VIV-134,4,6 months warranty,Ships in 3-5 business days,In Stock,7 days return policy,1,vivo,14.06,11.79,6.78,Very satisfied!
135,Vivo V9,smartphones,299.99,17.67,2,82,Vivo,SMA-VIV-VIV-135,4,2 year warranty,Ships in 1 month,In Stock,60 days return policy,2,vivo,19.85,21.83,13.04,Very unhappy with my purchase!
136,Vivo X21,smartphones,499.99,17.41,4,7,Vivo,SMA-VIV-VIV-136,10,1 year warranty,Ships in 1-2 business days,In Stock,60 days return policy,3,vivo,22.49,21.62,27.88,Very pleased!
137,American Football,sports-accessories,19.99,4.93,4,53,Unknown,SPO-BRD-AME-137,2,6 months warranty,Ships in 1 month,In Stock,90 days return policy,1,american football,6.88,5.82,21.96,Awesome product!
138,Baseball Ball,sports-accessories,8.99,1.71,5,100,Unknown,SPO-BRD-BAS-138,5,6 months warranty,Ships in 1 week,In Stock,30 days return policy,11,baseball,14.42,22.65,15.89,Excellent quality!
139,Baseball Glove,sports-accessories,24.99,2.9,1,22,Unknown,SPO-BRD-BAS-139,1,Lifetime warranty,Ships in 2 weeks,In Stock,90 days return policy,8,baseball,23.84,11.12,5.85,Very unhappy with my purchase!
140,Basketball,sports-accessories,14.99,7.44,5,75,Unknown,SPO-BRD-BAS-140,7,1 year warranty,Ships in 1 week,In Stock,90 days return policy,11,basketball,27.86,10.64,18.75,Highly recommended!
141,Basketball Rim,sports-accessories,39.99,7.74,4,43,Unknown,SPO-BRD-BAS-141,1,3 months warranty,Ships overnight,In Stock,No return policy,9,basketball,15.83,20.87,7.27,Fast shipping!
142,Cricket Ball,sports-accessories,12.99,8.63,1,30,Unknown,SPO-BRD-CRI-142,7,3 year warranty,Ships in 3-5 business days,In Stock,7 days return policy,11,cricket,28.51,20.77,17.66,Poor quality!
143,Cricket Bat,sports-accessories,29.99,3.29,5,98,Unknown,SPO-BRD-CRI-143,10,1 year warranty,Ships in 1-2 business days,In Stock,No return policy,16,cricket,27.44,23.65,16.62,Very satisfied!
144,Cricket Helmet,sports-accessories,44.99,9.64,5,10,Unknown,SPO-BRD-CRI-144,10,Lifetime warranty,Ships overnight,In Stock,60 days return policy,4,cricket,6.34,6.25,21.68,Great value for money!
145,Cricket Wicket,sports-accessories,29.99,16.93,3,25,Unknown,SPO-BRD-CRI-145,5,3 months warranty,Ships overnight,In Stock,No return policy,20,cricket,15.99,15.23,22.81,Very dissatisfied!
146,Feather Shuttlecock,sports-accessories,5.99,2.95,4,95,Unknown,SPO-BRD-FEA-146,4,3 year warranty,Ships in 1-2 business days,In Stock,60 days return policy,30,badminton,19.63,23.73,18.56,Awesome product!
147,Football,sports-accessories,17.99,5.15,4,96,Unknown,SPO-BRD-FOO-147,1,Lifetime warranty,Ships overnight,In Stock,7 days return policy,27,football,28.93,23.01,11.71,Very happy with my purchase!
148,Golf Ball,sports-accessories,9.99,17.37,2,84,Unknown,SPO-BRD-GOL-148,3,1 year warranty,Ships in 3-5 business days,In Stock,No return policy,40,golf,24.89,23.39,12.47,Not worth the price!
149,Iron Golf,sports-accessories,49.99,6.53,5,90,Unknown,SPO-BRD-IRO-149,2,3 months warranty,Ships in 2 weeks,In Stock,7 days return policy,8,golf,10.15,19.55,5.91,Awesome product!
150,Metal Baseball Bat,sports-accessories,29.99,19.51,5,16,Unknown,SPO-BRD-MET-150,7,3 year warranty,Ships in 1 week,In Stock,60 days return policy,9,baseball,28.43,14.3,7.36,Very happy with my purchase!
151,Tennis Ball,sports-accessories,6.99,11.76,4,28,Unknown,SPO-BRD-TEN-151,3,5 year warranty,Ships in 1 week,In Stock,7 days return policy,6,tennis,8.04,20.35,12.24,Would buy again!
152,Tennis Racket,sports-accessories,49.99,19.61,3,6,Unknown,SPO-BRD-TEN-152,7,5 year warranty,Ships overnight,Low Stock,7 days return policy,5,tennis,17.7,16.38,18.74,Poor quality!
153,Volleyball,sports-accessories,11.99,12.25,4,0,Unknown,SPO-BRD-VOL-153,3,1 week warranty,Ships in 1 week,Out of Stock,90 days return policy,44,volleyball,17.01,20.05,9.94,Great product!
154,Black Sun Glasses,sunglasses,29.99,4.94,3,60,Fashion Shades,SUN-FAS-BLA-154,1,No warranty,Ships in 1-2 business days,In Stock,7 days return policy,17,sunglasses,18.51,15.69,10.11,Would not recommend!
155,Classic Sun Glasses,sunglasses,24.99,4.94,5,1,Fashion Shades,SUN-FAS-CLA-155,8,6 months warranty,Ships in 1 month,Low Stock,90 days return policy,18,sunglasses,19.87,16.73,11.07,Very satisfied!
156,Green and Black Glasses,sunglasses,34.99,1.01,3,24,Fashion Shades,SUN-FAS-GRE-156,7,1 year warranty,Ships overnight,In Stock,30 days return policy,15,sunglasses,26.13,9.8,25.94,Waste of money!
157,Party Glasses,sunglasses,19.99,11.22,5,86,Fashion Fun,SUN-FAS-PAR-157,9,3 months warranty,Ships overnight,In Stock,7 days return policy,39,party glasses,19.59,22.06,27.53,Very pleased!
158,Sunglasses,sunglasses,22.99,1.51,5,27,Fashion Shades,SUN-FAS-SUN-158,1,3 year warranty,Ships in 3-5 business days,In Stock,60 days return policy,8,sunglasses,16.15,24.59,10.31,Would buy again!
159,iPad Mini 2021 Starlight,tablets,499.99,3.64,4,47,Apple,TAB-APP-IPA-159,5,2 year warranty,Ships in 1-2 business days,In Stock,No return policy,3,tablets,17.03,5.34,29.62,Highly impressed!
160,Samsung Galaxy Tab S8 Plus Grey,tablets,599.99,13.31,5,62,Samsung,TAB-SAM-SAM-160,1,3 months warranty,Ships in 2 weeks,In Stock,7 days return policy,1,tablets,6.11,25.85,26.85,Highly impressed!
161,Samsung Galaxy Tab White,tablets,349.99,18.2,1,92,Samsung,TAB-SAM-SAM-161,5,3 months warranty,Ships overnight,In Stock,7 days return policy,5,tablets,15.05,5.37,11.82,Waste of money!
162,Blue Frock,tops,29.99,12.13,4,52,Unknown,TOP-BRD-BLU-162,5,Lifetime warranty,Ships in 2 weeks,In Stock,60 days return policy,4,dresses,24.25,5.91,8.79,Great product!
163,Girl Summer Dress,tops,19.99,19.2,5,43,Unknown,TOP-BRD-GIR-163,5,Lifetime warranty,Ships in 1 month,In Stock,60 days return policy,46,girls dresses,26.19,20.65,10.1,Excellent quality!
164,Gray Dress,tops,34.99,14.28,5,55,Unknown,TOP-BRD-GRA-164,1,1 month warranty,Ships in 1 month,In Stock,90 days return policy,13,dresses,11.91,25.72,18.55,Highly impressed!
165,Short Frock,tops,24.99,13.45,3,22,Unknown,TOP-BRD-SHO-165,10,1 year warranty,Ships in 1-2 business days,In Stock,30 days return policy,5,dresses,24.29,6.79,28.12,Disappointing product!
166,Tartan Dress,tops,39.99,12.95,5,73,Unknown,TOP-BRD-TAR-166,8,1 month warranty,Ships overnight,In Stock,No return policy,1,dresses,23.14,12.44,12.67,Highly recommended!
167,300 Touring,vehicle,28999.99,3.98,4,54,Chrysler,VEH-CHR-TOU-167,9,3 year warranty,Ships in 2 weeks,In Stock,30 days return policy,1,vehicles,19.2,26.17,17.28,Very pleased!
168,Charger SXT RWD,vehicle,32999.99,8.23,2,57,Dodge,VEH-DOD-CHA-168,6,1 month warranty,Ships in 3-5 business days,In Stock,No return policy,1,sports cars,16.77,23.03,8.18,Not worth the price!
169,Dodge Hornet GT Plus,vehicle,24999.99,2.63,5,82,Dodge,VEH-DOD-DOD-169,8,1 year warranty,Ships in 1 month,In Stock,60 days return policy,1,compact cars,19.89,9.8,17.8,Awesome product!
170,Durango SXT RWD,vehicle,36999.99,16.44,5,95,Dodge,VEH-DOD-DUR-170,1,2 year warranty,Ships in 1 month,In Stock,30 days return policy,1,vehicles,19.02,29.52,24.36,Very pleased!
171,Pacifica Touring,vehicle,31999.99,14.76,5,53,Chrysler,VEH-CHR-PAC-171,9,1 month warranty,Ships overnight,In Stock,60 days return policy,1,vehicles,7.11,15.51,18.1,Fast shipping!
172,Blue Women's Handbag,womens-bags,49.99,17.88,3,76,Fashionista,WOM-FAS-BLU-172,7,1 year warranty,Ships in 1 week,In Stock,7 days return policy,5,handbags,14.12,11.89,25.69,Waste of money!
173,Heshe Women's Leather Bag,womens-bags,129.99,3.87,5,99,Heshe,WOM-HES-HES-173,3,5 year warranty,Ships overnight,In Stock,90 days return policy,5,leather bags,28.66,20.56,6.62,Excellent quality!
174,Prada Women Bag,womens-bags,599.99,14.09,2,75,Prada,WOM-PRA-PRA-174,4,3 year warranty,Ships in 1-2 business days,In Stock,60 days return policy,1,designer bags,21.84,22.19,13.41,Would not buy again!
175,White Faux Leather Backpack,womens-bags,39.99,15.2,4,39,Urban Chic,WOM-URB-WHI-175,7,2 year warranty,Ships in 1 week,In Stock,90 days return policy,7,backpacks,14.31,23.29,28.91,Awesome product!
176,Women Handbag Black,womens-bags,59.99,11.63,4,11,Elegance Collection,WOM-ELE-WOM-176,6,Lifetime warranty,Ships in 1 month,In Stock,60 days return policy,9,handbags,29.76,12.34,15.82,Very pleased!
177,Black Women's Gown,womens-dresses,129.99,10.48,4,25,Unknown,WOM-BRD-BLA-177,2,Lifetime warranty,Ships in 1 week,In Stock,No return policy,5,gowns,7.86,9.02,25.82,Great value for money!
178,Corset Leather With Skirt,womens-dresses,89.99,16.26,5,30,Unknown,WOM-BRD-COR-178,1,2 year warranty,Ships overnight,In Stock,30 days return policy,3,corsets,6.01,12.6,11.62,Very happy with my purchase!
179,Corset With Black Skirt,womens-dresses,79.99,15.06,5,33,Unknown,WOM-BRD-COR-179,7,1 month warranty,Ships in 1 week,In Stock,No return policy,5,corsets,17.56,28.42,23.95,Very satisfied!
180,Dress Pea,womens-dresses,49.99,17.68,4,6,Unknown,WOM-BRD-DRE-180,1,2 year warranty,Ships overnight,Low Stock,90 days return policy,6,dresses,28.51,20.99,12.58,Fast shipping!
181,Marni Red & Black Suit,womens-dresses,179.99,19.02,5,62,Unknown,WOM-BRD-MAR-181,3,5 year warranty,Ships in 2 weeks,In Stock,90 days return policy,2,suits,26.02,9.93,25.48,Fast shipping!
182,Green Crystal Earring,womens-jewellery,29.99,15.24,4,54,Unknown,WOM-BRD-GRE-182,2,5 year warranty,Ships in 3-5 business days,In Stock,60 days return policy,15,earrings,14.61,22.92,12.52,Would buy again!
183,Green Oval Earring,womens-jewellery,24.99,15.18,3,73,Unknown,WOM-BRD-GRE-183,10,3 months warranty,Ships in 3-5 business days,In Stock,60 days return policy,19,earrings,8.48,6.24,5.72,Would not buy again!
184,Tropical Earring,womens-jewellery,19.99,0.76,5,1,Unknown,WOM-BRD-TRO-184,3,3 year warranty,Ships in 1-2 business days,Low Stock,7 days return policy,31,earrings,14.99,15.76,16.09,Great product!
185,Black & Brown Slipper,womens-shoes,19.99,3.33,5,3,Comfort Trends,WOM-COM-BLA-185,5,Lifetime warranty,Ships in 1 month,Low Stock,60 days return policy,47,slippers,21.35,26.21,17.0,Highly impressed!
186,Calvin Klein Heel Shoes,womens-shoes,79.99,3.19,5,93,Calvin Klein,WOM-CAL-CAL-186,6,2 year warranty,Ships in 1 week,In Stock,60 days return policy,6,heel shoes,29.12,20.94,20.65,Great value for money!
187,Golden Shoes Woman,womens-shoes,49.99,13.93,4,88,Fashion Diva,WOM-FAS-GOL-187,4,6 months warranty,Ships in 2 weeks,In Stock,7 days return policy,7,womens shoes,16.38,20.06,8.8,Excellent quality!
188,Pampi Shoes,womens-shoes,29.99,14.14,4,49,Pampi,WOM-PAM-PAM-188,7,No warranty,Ships in 1 week,In Stock,60 days return policy,12,casual shoes,29.43,22.65,16.12,Highly recommended!
189,Red Shoes,womens-shoes,34.99,17.69,5,7,Fashion Express,WOM-FAS-SHO-189,10,No warranty,Ships in 1 month,Low Stock,60 days return policy,8,womens shoes,15.21,11.62,22.63,Fast shipping!
190,IWC Ingenieur Automatic Steel,womens-watches,4999.99,9.45,3,90,IWC,WOM-IWC-ING-190,3,1 year warranty,Ships overnight,In Stock,No return policy,1,luxury watches,24.77,24.66,6.09,Disappointing product!
191,Rolex Cellini Moonphase,womens-watches,15999.99,4.11,4,52,Rolex,WOM-ROL-ROL-191,10,1 month warranty,Ships in 1 week,In Stock,30 days return policy,1,luxury watches,12.5,20.63,25.04,Very happy with my purchase!
192,Rolex Datejust Women,womens-watches,10999.99,15.94,3,4,Rolex,WOM-ROL-ROL-192,3,5 year warranty,Ships in 2 weeks,Low Stock,No return policy,1,luxury watches,23.23,7.19,28.95,Not as described!
193,Watch Gold for Women,womens-watches,799.99,18.34,4,0,Fashion Gold,WOM-FAS-WAT-193,1,2 year warranty,Ships in 1-2 business days,Out of Stock,60 days return policy,1,watches,18.85,28.59,7.21,Highly impressed!
194,Women's Wrist Watch,womens-watches,129.99,12.6,4,12,Fashion Co.,WOM-FAS-WOM-194,1,1 year warranty,Ships in 2 weeks,In Stock,No return policy,5,watches,26.1,22.03,21.61,Very happy with my purchase!
